col1,col2,cond
arabic_arabic18_E_lowpass.wav,arabic_arabic40_E_lowpass.wav,cond1
arabic_arabic18_E_lowpass.wav,arabic_arabic44_E_lowpass.wav,cond1
arabic_arabic18_E_lowpass.wav,arabic_arabic5_E_lowpass.wav,cond1
arabic_arabic18_E_lowpass.wav,arabic_arabic6_E_lowpass.wav,cond1
arabic_arabic18_G_lowpass.wav,arabic_arabic20_G_lowpass.wav,cond1
arabic_arabic18_G_lowpass.wav,arabic_arabic23_G_lowpass.wav,cond1
arabic_arabic18_G_lowpass.wav,arabic_arabic32_G_lowpass.wav,cond1
arabic_arabic18_G_lowpass.wav,arabic_arabic38_G_lowpass.wav,cond1
arabic_arabic18_G_lowpass.wav,arabic_arabic4_G_lowpass.wav,cond1
arabic_arabic18_G_lowpass.wav,arabic_arabic5_G_lowpass.wav,cond1
arabic_arabic18_G_lowpass.wav,arabic_arabic8_G_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic20_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic21_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic23_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic32_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic35_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic38_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic4_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic40_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic41_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic43_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic44_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic5_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic6_A_lowpass.wav,cond1
arabic_arabic2_A_lowpass.wav,arabic_arabic8_A_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic20_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic21_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic23_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic32_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic35_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic37_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic38_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic4_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic40_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic41_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic43_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic5_C_lowpass.wav,cond1
arabic_arabic2_C_lowpass.wav,arabic_arabic6_C_lowpass.wav,cond1
arabic_arabic2_E_lowpass.wav,arabic_arabic21_E_lowpass.wav,cond1
arabic_arabic2_E_lowpass.wav,arabic_arabic23_E_lowpass.wav,cond1
arabic_arabic2_E_lowpass.wav,arabic_arabic35_E_lowpass.wav,cond1
arabic_arabic2_E_lowpass.wav,arabic_arabic37_E_lowpass.wav,cond1
arabic_arabic2_E_lowpass.wav,arabic_arabic38_E_lowpass.wav,cond1
arabic_arabic2_E_lowpass.wav,arabic_arabic4_E_lowpass.wav,cond1
arabic_arabic2_E_lowpass.wav,arabic_arabic40_E_lowpass.wav,cond1
arabic_arabic2_E_lowpass.wav,arabic_arabic44_E_lowpass.wav,cond1
arabic_arabic2_E_lowpass.wav,arabic_arabic5_E_lowpass.wav,cond1
arabic_arabic2_E_lowpass.wav,arabic_arabic6_E_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic21_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic23_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic32_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic35_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic38_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic4_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic40_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic41_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic43_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic44_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic5_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic6_A_lowpass.wav,cond1
arabic_arabic20_A_lowpass.wav,arabic_arabic8_A_lowpass.wav,cond1
arabic_arabic20_B_lowpass.wav,arabic_arabic23_B_lowpass.wav,cond1
arabic_arabic20_B_lowpass.wav,arabic_arabic32_B_lowpass.wav,cond1
arabic_arabic20_B_lowpass.wav,arabic_arabic38_B_lowpass.wav,cond1
arabic_arabic20_B_lowpass.wav,arabic_arabic4_B_lowpass.wav,cond1
arabic_arabic20_B_lowpass.wav,arabic_arabic43_B_lowpass.wav,cond1
arabic_arabic20_B_lowpass.wav,arabic_arabic6_B_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic21_C_lowpass.wav,cond1
arabic_arabic20_C_lowpass.wav,arabic_arabic23_C_lowpass.wav,cond1
